"File","Status","Reason"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/apply_drag_scroll.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/apply_fixes.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/apply_layers.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/apply_layers_raw.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/apply_scroll_wrapper.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/apply_ui_core.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/app_git.html","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/brace_check.js","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/build_layers.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/build_layers_clean.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/bypass_cache.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/callout_analysis_report.json","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/check_cors.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/check_cors2.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/check_export.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/check_export2.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/check_luks.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/check_n.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/check_syntax2.js","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/clean_export.js","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/config.js","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/core.js","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/count_braces.js","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/create_template.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_app.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_app.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_app_html.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_canvascore.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_check.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_core.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_core_new.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_elit.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_elit.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_events.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_events_clean.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_events_w.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_export.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_export_15v7.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_export_backup.txt","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_export_py.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_export_safe.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_export_safe2.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_main.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_main_clean.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_main_new.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_main_w.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_photo.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_photo.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_photozoom.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_photozoom.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_script.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_styles.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_styles_clean.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_styles_w.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_ui-core.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_ui-core_clean.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/diff_ui-core_w.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/disable_swipe.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/dump.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/dump.txt","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/dump2.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/dump3.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/export-v15.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/export_backup.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/export_v8_backup.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/extract_raw.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/extract_script.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/extract_true_raw.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/final_fix.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fixed_diff_events.txt","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fixed_diff_main.txt","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fixed_diff_styles.txt","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fixed_diff_ui-core.txt","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_app_buttons.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_app_clean.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_brace.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_cancel.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_css.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_diffs.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_drag_scroll.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_draw_clean.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_duplicate.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_duplicate.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_encoding.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_feats.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_feats2.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_feats3.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_fill_mode.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_final.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_flash_and_scroll.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_floating_switch.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_html2canvas_offset.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_img.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_ios_scroll.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_js.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_l8.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_l8_regex.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_layers_clean.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_liveupdate.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_luks.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_n.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_offset2.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_out_anim.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_p8_width.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_panels.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_pass2_contains.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_photo_draw.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_pointer.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_polygon.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_sandwich.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_sandwich2.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_scroll_jump.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_slide_anim.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_syntax.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_syntax.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_syntax2.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_syntax3.js","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_syntax_again.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_top.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/fix_transition.py","BEKLET","Geliştirme/Yedek/Test dosyası (isminde System.Collections.Hashtable[1] geçiyor)"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/format_sistemi_raporu.md","BEKLET","Dokümantasyon/Rapor dosyası"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/full_command.txt","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/implementation_plan.md","BEKLET","Dokümantasyon/Rapor dosyası"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/implement_batch.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
"C:/Users/Hatemi/Desktop/emlak düzenlemeleri için uygulama/emlak-studiom v7-0/implement_sandwich.py","DOKUNMA","HTML dosyaları (app.html vb.) tarafından doğrudan çağrılıyor"
